# LibreOffice external tarball cache manifest observed in the retained custom-build workspace backup ZIP.
# Archive bodies are not tracked in Git. This file records build-input evidence for user verification.
# Columns: path_in_lo_zip, file_name, size_bytes, sha256
path_in_lo_zip	file_name	size_bytes	sha256
lo/externals/icu4c-78.3-data.zip	icu4c-78.3-data.zip	20187983	9d8b3899096aeb83e4e21ef8a40fec9e03b28db18c48452efac882ce25a91e27
lo/externals/icu4c-78.3-sources.tgz	icu4c-78.3-sources.tgz	27977255	3a2e7a47604ba702f345878308e6fefeca612ee895cf4a5f222e7955fabfe0c0
lo/externals/language-subtag-registry-2026-04-21.tar.bz2	language-subtag-registry-2026-04-21.tar.bz2	79691	0aef705315aeec1dc43052c920b1971f447f86aad3091e15a9bbc0390a3bc8ff
lo/externals/lcms2-2.18.tar.gz	lcms2-2.18.tar.gz	5599928	ee67be3566f459362c1ee094fde2c159d33fa0390aa4ed5f5af676f9e5004347
lo/externals/libabw-0.1.3.tar.xz	libabw-0.1.3.tar.xz	318808	e763a9dc21c3d2667402d66e202e3f8ef4db51b34b79ef41f56cacb86dcd6eed
lo/externals/libassuan-3.0.2.tar.bz2	libassuan-3.0.2.tar.bz2	593917	d2931cdad266e633510f9970e1a2f346055e351bb19f9b78912475b8074c36f6
lo/externals/libcdr-0.1.8.tar.xz	libcdr-0.1.8.tar.xz	625836	ced677c8300b29c91d3004bb1dddf0b99761bf5544991c26c2ee8f427e87193c
lo/externals/libe-book-0.1.3.tar.xz	libe-book-0.1.3.tar.xz	416268	7e8d8ff34f27831aca3bc6f9cc532c2f90d2057c778963b884ff3d1e34dfe1f9
lo/externals/libeot-0.01.tar.bz2	libeot-0.01.tar.bz2	260288	cf5091fa8e7dcdbe667335eb90a2cfdd0a3fe8f8c7c8d1ece44d9d055736a06a
lo/externals/libepoxy-1.5.10.tar.gz	libepoxy-1.5.10.tar.gz	332078	a7ced37f4102b745ac86d6a70a9da399cc139ff168ba6b8002b4d8d43c900c15
lo/externals/libepubgen-0.1.1.tar.xz	libepubgen-0.1.1.tar.xz	324380	03e084b994cbeffc8c3dd13303b2cb805f44d8f2c3b79f7690d7e3fc7f6215ad
lo/externals/liberation-fonts-ttf-2.1.5.tar.gz	liberation-fonts-ttf-2.1.5.tar.gz	2385008	7191c669bf38899f73a2094ed00f7b800553364f90e2637010a69c0e268f25d0
lo/externals/liberation-narrow-fonts-ttf-1.07.6.tar.gz	liberation-narrow-fonts-ttf-1.07.6.tar.gz	300832	8879d89b5ff7b506c9fc28efc31a5c0b954bbe9333e66e5283d27d20a8519ea3
lo/externals/libetonyek-0.1.13.tar.xz	libetonyek-0.1.13.tar.xz	1514256	032b71cb597edd92a0b270b916188281bc35be55296b263f6817b29adbcb1709
lo/externals/libexttextcat-3.4.7.tar.xz	libexttextcat-3.4.7.tar.xz	1122804	df0a59d413a5b202573d8d4f5159e33a8538da4f8e8e60979facc64d6290cebd
lo/externals/libfreehand-0.1.2.tar.xz	libfreehand-0.1.2.tar.xz	516132	0e422d1564a6dbf22a9af598535425271e583514c0f7ba7d9091676420de34ac
lo/externals/libgpg-error-1.59.tar.bz2	libgpg-error-1.59.tar.bz2	1123184	a19bc5087fd97026d93cb4b45d51638d1a25202a5e1fbc3905799f424cfa6134
lo/externals/libjpeg-turbo-3.1.4.1.tar.gz	libjpeg-turbo-3.1.4.1.tar.gz	2528617	ecae8008e2cc9ade2f2c1bb9d5e6d4fb73e7c433866a056bd82980741571a022
lo/externals/liblangtag-0.6.8.tar.bz2	liblangtag-0.6.8.tar.bz2	768482	a96975b79ddd8fef6d9295c083fe3f1afa1a8898a57235d4069255ade44e5cf2
lo/externals/libmspub-0.1.4.tar.xz	libmspub-0.1.4.tar.xz	377472	ef36c1a1aabb2ba3b0bedaaafe717bf4480be2ba8de6f3894be5fd3702b013ba
lo/externals/libmwaw-0.3.22.tar.xz	libmwaw-0.3.22.tar.xz	1476620	a1a39ffcea3ff2a7a7aae0c23877ddf4918b554bf82b0de5d7ce8e7f61ea8e32
lo/externals/libnumbertext-1.0.11.tar.xz	libnumbertext-1.0.11.tar.xz	302676	5dcb4db3b2340f81f601ce86d8d76b69e34d70f84f804192c901e4b7f84d5fb0
lo/externals/libodfgen-0.1.8.tar.xz	libodfgen-0.1.8.tar.xz	386156	55200027fd46623b9bdddd38d275e7452d1b0ff8aeddcad6f9ae6dc25f610625
lo/externals/liborcus-0.21.0.tar.xz	liborcus-0.21.0.tar.xz	2267752	1c6e473d6b8a63d61d0e6874a1762d6f0e0e78338d763e48ac93126ecde19b37
lo/externals/libpagemaker-0.0.4.tar.xz	libpagemaker-0.0.4.tar.xz	306496	66adacd705a7d19895e08eac46d1e851332adf2e736c566bef1164e7a442519d
lo/externals/libpng-1.6.58.tar.xz	libpng-1.6.58.tar.xz	1070096	28eb403f51f0f7405249132cecfe82ea5c0ef97f1b32c5a65828814ae0d34775
lo/externals/libqxp-0.0.2.tar.xz	libqxp-0.0.2.tar.xz	341760	e137b6b110120a52c98edd02ebdc4095ee08d0d5295a94316a981750095a945c
lo/externals/libre-hebrew-1.0.tar.gz	libre-hebrew-1.0.tar.gz	531276	f596257c1db706ce35795b18d7f66a4db99d427725f20e9384914b534142579a
lo/externals/librevenge-0.0.5.tar.bz2	librevenge-0.0.5.tar.bz2	534079	5892ca6796f7a2a93d580832e907e849b19d980b40d326a283b18877ab6de0c5
lo/externals/libstaroffice-0.0.7.tar.xz	libstaroffice-0.0.7.tar.xz	707920	f94fb0ad8216f97127bedef163a45886b43c62deac5e5b0f5e628e234220c8db
lo/externals/libvisio-0.1.10.tar.xz	libvisio-0.1.10.tar.xz	2041876	9e9eff75112d4d92d92262ad7fc2599c21e26f8fc5ba54900efdc83c0501e472
